"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"York County","PA","York-Hanover",150,1176,0.002613,0.013219,0.061893,154630
2019-09-30,"Jefferson Parish","LA","New Orleans-Metairie",151,1125,0.003453,0.00104,-0.02241,7344
2019-09-30,"Knox County","TN","Knoxville",152,1167,0.002424,0.013837,0.046225,171323
2019-09-30,"Polk County","IA","Des Moines-West Des Moines",153,1114,0.001912,0.005182,-0.004654,163595
2019-09-30,"Genesee County","MI","Flint",154,865,-0.000067,0.002227,0.046417,149687
2019-09-30,"Clark County","WA","Portland-Vancouver-Hillsboro",155,1620,0.005097,0.019071,0.01687,158846
2019-09-30,"Santa Barbara County","CA","Santa Maria-Santa Barbara",156,2860,0.007043,0.018996,0.041169,105475
2019-09-30,"Seminole County","FL","Orlando-Kissimmee-Sanford",157,1375,0.002,0.010566,0.03062,172901
2019-09-30,"Williamson County","TX","Austin-Round Rock",158,1492,0.008355,0.018264,0.021148,204882
2019-09-30,"Washoe County","NV","Reno",159,1650,0.005928,0.018681,0.046366,161061
2019-09-30,"Monterey County","CA","Salinas",160,2588,0.009046,0.027769,0.038379,107313
2019-09-30,"Solano County","CA","Vallejo-Fairfield",161,2153,0.003694,0.021703,0.057142,134382
2019-09-30,"Mobile County","AL","Mobile",162,889,0.00501,0.024984,0.010842,145689
2019-09-30,"Berks County","PA","Reading",163,1179,0.004638,0.020418,0.020351,136897
2019-09-30,"Cameron County","TX","Brownsville-Harlingen",164,993,-0.003486,0.011587,0.058191,121034
2019-09-30,"Prince William County","VA","Washington-Arlington-Alexandria",165,1874,0.003164,0.012923,0.018709,151474
2019-09-30,"Hillsborough County","NH","Manchester-Nashua",166,1524,0.010598,0.022179,0.037838,148264
2019-09-30,"Dakota County","MN","Minneapolis-St. Paul-Bloomington",167,1456,0.000179,0.003336,0.021592,152008
2019-09-30,"Ada County","ID","Boise City",168,1434,0.011068,0.036338,0.072416,177350
2019-09-30,"Waukesha County","WI","Milwaukee-Waukesha-West Allis",169,1533,0.003011,0.017385,0.060651,87628
2019-09-30,"Richland County","SC","Columbia",170,1020,-0.001691,-0.004372,0.008072,139831
2019-09-30,"Pulaski County","AR","Little Rock-North Little Rock-Conway",171,810,-0.005036,0.000226,0.002678,144400
2019-09-30,"Sarasota County","FL","North Port-Sarasota-Bradenton",172,1770,-0.00844,-0.029644,0.006551,236712
2019-09-30,"Clackamas County","OR","Portland-Vancouver-Hillsboro",173,1710,0.003314,0.008913,0.011661,136623
2019-09-30,"Pinal County","AZ","Phoenix-Mesa-Scottsdale",174,1295,0.010154,0.032044,0.076835,148331
2019-09-30,"Stark County","OH","Canton-Massillon",175,805,0.001356,0.013476,0.027526,143397
2019-09-30,"Orange County","NY","New York-Newark-Jersey City",176,1643,0.004995,0.01576,0.019353,130113
2019-09-30,"Butler County","OH","Cincinnati",177,1059,-0.000545,0.013453,0.039228,124843
2019-09-30,"Mercer County","NJ","Trenton",178,1665,0.002045,0.007077,0.014326,117672
2019-09-30,"Westmoreland County","PA","Pittsburgh",179,852,0.004662,0.008005,-0.009701,55326
2019-09-30,"Saint Charles County","MO","St. Louis",180,1211,0.00027,0.001396,0.00202,144853
2019-09-30,"Allen County","IN","Fort Wayne",181,990,0.004845,0.029197,0.027674,128419
2019-09-30,"Lane County","OR","Eugene",182,1410,0.004864,0.026837,0.051551,115582
2019-09-30,"Forsyth County","NC","Winston-Salem",183,939,0.007933,0.02582,0.067086,133131
2019-09-30,"Charleston County","SC","Charleston-North Charleston",184,1682,-0.002534,-0.006748,0.028235,164469
2019-09-30,"Lehigh County","PA","Allentown-Bethlehem-Easton",185,1307,0.00647,0.012763,0.009895,125080
2019-09-30,"Placer County","CA","Sacramento--Roseville--Arden-Arcade",186,2101,0.007315,0.021783,0.029149,145462
2019-09-30,"Washtenaw County","MI","Ann Arbor",187,1581,-0.02485,-0.011886,-0.037385,110167
2019-09-30,"Orleans Parish","LA","New Orleans-Metairie",188,1443,-0.001148,0.005726,0.025935,15788
2019-09-30,"Nueces County","TX","Corpus Christi",189,1334,0.002474,0.012766,0.00486,117601
2019-09-30,"Hamilton County","TN","Chattanooga",190,1188,-0.002211,-0.000419,0.047321,132148
2019-09-30,"Madison County","AL","Huntsville",191,1026,0.009354,0.026851,0.068354,132738
2019-09-30,"Marion County","FL","Ocala",192,1134,0.008335,0.028877,0.058609,144262
2019-09-30,"Anoka County","MN","Minneapolis-St. Paul-Bloomington",193,1480,0.004609,0.012872,0.02482,125477
2019-09-30,"Somerset County","NJ","New York-Newark-Jersey City",194,2048,-0.000837,-0.000682,0.01197,116434
2019-09-30,"Manatee County","FL","North Port-Sarasota-Bradenton",195,1699,-0.001522,-0.006265,0.045078,178588
2019-09-30,"Collier County","FL","Naples-Immokalee-Marco Island",196,2869,-0.020282,-0.09162,0.052584,244490
2019-09-30,"Luzerne County","PA","Scranton--Wilkes-Barre--Hazleton",197,927,-0.000381,0.024233,0.041627,5752
2019-09-30,"Cumberland County","NC","Fayetteville",198,848,0.002638,0.01048,0.028358,113276
2019-09-30,"Saint Louis City","MO","St. Louis",199,894,0.006701,0.028042,0.036437,118922
2019-09-30,"Chesterfield County","VA","Richmond",200,1397,0.004825,0.015571,0.016519,130876
2019-09-30,"Marion County","OR","Salem",201,1422,0.008893,0.019681,0.057475,78224
2019-09-30,"Brazoria County","TX","Houston-The Woodlands-Sugar Land",202,1339,0.001803,-0.003815,-0.029505,114078
2019-09-30,"Loudoun County","VA","Washington-Arlington-Alexandria",203,2149,0.00152,0.015903,0.024327,141028
2019-09-30,"Rockland County","NY","New York-Newark-Jersey City",204,2344,0.008325,0.029985,0.010836,90793
2019-09-30,"Bell County","TX","Killeen-Temple",205,900,0.005689,0.025037,0.031064,105112
2019-09-30,"McHenry County","IL","Chicago-Naperville-Elgin",206,1464,0.005319,0.014486,0.008944,61522
2019-09-30,"Henrico County","VA","Richmond",207,1358,0.000849,0.009947,0.033571,131387
2019-09-30,"Davis County","UT","Ogden-Clearfield",208,1569,-0.000613,0.008734,0.010558,104613
2019-09-30,"Albany County","NY","Albany-Schenectady-Troy",209,1276,-0.004085,-0.010063,0.003683,96700
2019-09-30,"Lorain County","OH","Cleveland-Elyria",210,989,0.006269,0.033844,0.061114,116978
