"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Rolling Oaks","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Miami Gardens",13446,1988,0.002721,0.002553,0.038854,296
2019-09-30,"Timberwood","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",13447,1415,-0.003268,-0.008819,0.030019,198
2019-09-30,"Carriage Town","MI","Flint","Genesee County","Flint",13448,656,0.002567,0.007332,0.010761,104
2019-09-30,"Smokerise Valley","AZ","Flagstaff","Coconino County","Flagstaff",13449,1641,0.00938,0.014899,0.000079,372
2019-09-30,"Villa Del Trio","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Greenacres",13450,1310,0.000157,0.001419,-0.01392,246
2019-09-30,"Jefferson Valley","NY","New York-Newark-Jersey City","Westchester County","Town Of Yorktown",13451,2202,-0.010813,-0.032238,-0.022124,85
2019-09-30,"Wissahickon Park","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",13452,1577,0.008237,0.027628,0.080829,33
2019-09-30,"Fall Creek Estates","TX","Dallas-Fort Worth-Arlington","Dallas County","Garland",13453,2154,0.000436,0.002758,0.001934,69
2019-09-30,"McAfee Heights","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Mesa",13454,1316,0.007946,0.012485,0,217
2019-09-30,"Downtown","OK","Oklahoma City","Cleveland County","Norman",13455,892,-0.000999,0.007608,0.034929,109
2019-09-30,"Grainger-Whittemore","SC","Myrtle Beach-Conway-North Myrtle Beach","Horry County","Conway",13456,1148,0.006359,-0.003826,-0.024909,237
2019-09-30,"Ridgeview","CA","San Francisco-Oakland-Hayward","Contra Costa County","Pleasant Hill",13457,2895,0.007938,0.029132,0.023171,543
2019-09-30,"Mortimore","AZ","Tucson","Pima County","Tucson",13458,1143,0.006765,0.019057,0.024747,430
2019-09-30,"Wallen Hills","IN","Fort Wayne","Allen County","Fort Wayne",13459,1090,0.009418,0.044616,0.067464,201
2019-09-30,"Northwest Quadrant","SC","Hilton Head Island-Bluffton-Beaufort","Beaufort County","Beaufort",13460,1391,-0.002563,0.003227,0.059402,328
2019-09-30,"Marine Park","TX","Dallas-Fort Worth-Arlington","Tarrant County","Fort Worth",13461,1225,0.007061,0.017169,0.056224,98
2019-09-30,"Tuscany at Lake Mary","FL","Orlando-Kissimmee-Sanford","Seminole County","Lake Mary",13462,2546,0.00125,0.020986,0.045059,176
2019-09-30,"Roxbury","NY","New York-Newark-Jersey City","Queens County","New York",13463,1973,0.001829,0.014426,-0.01105,354
2019-09-30,"Argonne Forest","GA","Atlanta-Sandy Springs-Roswell","Fulton County","Atlanta",13464,6387,-0.004544,-0.001875,0.125352,226
