"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Amarillo","TX","Amarillo","Potter County",147,789,-0.005622,-0.007535,-0.072896,68497
2019-09-30,"Eugene","OR","Eugene","Lane County",148,1458,0.003238,0.021757,0.044886,61018
2019-09-30,"Salt Lake City","UT","Salt Lake City","Salt Lake County",149,1520,0.006222,0.017516,0.043,64634
2019-09-30,"Port Saint Lucie","FL","Port St. Lucie","Saint Lucie County",150,1500,0.000159,0.008106,0.032065,90707
2019-09-30,"Salinas","CA","Salinas","Monterey County",151,2376,0.011027,0.039891,0.021215,44158
2019-09-30,"Little Rock","AR","Little Rock-North Little Rock-Conway","Pulaski County",152,849,-0.007978,-0.004609,0.002072,76402
2019-09-30,"Fort Collins","CO","Fort Collins","Larimer County",153,1665,-0.00124,0.001596,0.018853,65790
2019-09-30,"Hayward","CA","San Francisco-Oakland-Hayward","Alameda County",154,2750,-0.003041,-0.005183,-0.003851,45006
2019-09-30,"Brownsville","TX","Brownsville-Harlingen","Cameron County",155,859,-0.001444,-0.003917,0.040061,47999
2019-09-30,"Rockford","IL","Rockford","Winnebago County",156,901,-0.005356,-0.009531,0.00745,59952
2019-09-30,"Evansville","IN","Evansville","Vanderburgh County",157,863,0.006243,0.034491,0.026209,67075
2019-09-30,"Worcester","MA","Worcester","Worcester County",158,1410,0.003512,0.007429,0.052547,46624
2019-09-30,"Overland Park","KS","Kansas City","Johnson County",159,1347,0.002361,0.016496,0.047897,60764
2019-09-30,"Lancaster","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",160,1908,0.004218,0.020246,0.068761,53608
2019-09-30,"Salem","OR","Salem","Marion County",161,1430,0.010295,0.025341,0.058501,49358
2019-09-30,"Garden Grove","CA","Los Angeles-Long Beach-Anaheim","Orange County",162,2461,0.003008,0.006513,-0.005861,36247
2019-09-30,"Grand Prairie","TX","Dallas-Fort Worth-Arlington","Dallas County",163,1300,0.000292,0.003837,0.02476,53809
2019-09-30,"Beaverton","OR","Portland-Vancouver-Hillsboro","Washington County",164,1539,-0.001108,-0.010848,-0.037685,44923
2019-09-30,"Escondido","CA","San Diego-Carlsbad","San Diego County",165,2312,0.002709,0.020039,0.057594,41963
2019-09-30,"Providence","RI","Providence-Warwick","Providence County",166,1393,-0.002661,-0.001064,0.009122,43185
2019-09-30,"Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",167,1910,0.002958,0.008426,0.043568,106767
2019-09-30,"Ontario","CA","Riverside-San Bernardino-Ontario","San Bernardino County",168,2095,0.003683,0.009901,0.016011,41676
2019-09-30,"Columbus","GA","Columbus","Muscogee County",169,788,0.000973,0.010587,0.015076,56245
2019-09-30,"Sioux Falls","SD","Sioux Falls","Minnehaha County",170,976,0.000133,0.011375,-0.006095,53028
2019-09-30,"Charleston","SC","Charleston-North Charleston","Charleston County",171,1718,-0.000801,0.000332,0.035372,81882
2019-09-30,"Kissimmee","FL","Orlando-Kissimmee-Sanford","Osceola County",172,1447,0.006912,0.022813,0.038469,69368
2019-09-30,"Chattanooga","TN","Chattanooga","Hamilton County",173,1167,-0.001755,0.002118,0.056022,62874
2019-09-30,"Tempe","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",174,1498,0.007406,0.030237,0.06294,54613
2019-09-30,"Murfreesboro","TN","Nashville-Davidson--Murfreesboro--Franklin","Rutherford County",175,1306,0.006432,0.019599,0.018191,87298
2019-09-30,"Rancho Cucamonga","CA","Riverside-San Bernardino-Ontario","San Bernardino County",176,2229,0.004646,0.01256,0.017343,51717
2019-09-30,"Cape Coral","FL","Cape Coral-Fort Myers","Lee County",177,1435,-0.001692,0.002062,0.012108,98741
2019-09-30,"Savannah","GA","Savannah","Chatham County",178,1265,0.00443,0.02074,0.038002,58509
2019-09-30,"Fredericksburg","VA","Washington-Arlington-Alexandria","Spotsylvania County",179,1332,0.001516,0.012591,0.020971,58791
2019-09-30,"Killeen","TX","Killeen-Temple","Bell County",180,825,-0.002325,0.006673,0.013527,50260
2019-09-30,"Palmdale","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",181,1983,0.001534,0.012829,0.068926,51280
2019-09-30,"Roanoke","VA","Roanoke","Roanoke City",182,997,-0.003112,0.0002,0.003333,62621
2019-09-30,"Newport News","VA","Virginia Beach-Norfolk-Newport News","Newport News City",183,1097,0.001767,-0.003434,0.013088,54708
2019-09-30,"El Cajon","CA","San Diego-Carlsbad","San Diego County",184,2323,0.003068,0.01899,0.045006,38034
2019-09-30,"Clarksville","TN","Clarksville","Montgomery County",185,943,0.00676,0.016106,0.004238,75993
2019-09-30,"Jackson","MS","Jackson","Hinds County",186,837,-0.000576,-0.001385,-0.037181,54895
2019-09-30,"Elk Grove","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",187,1798,0.00625,0.018566,0.040358,54268
2019-09-30,"Peoria","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",188,1333,0.006759,0.023676,0.051631,71063
