"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"30284","GA","Atlanta-Sandy Springs-Roswell","Spalding County","Sunny Side",24701,708,-0.012561,-0.005931,0.048972,10
2019-09-30,"36915","AL",,"Choctaw County","Needham",24702,863,0.005672,0.015065,-0.02825,154
2019-09-30,"41166","KY",,"Lewis County","Garrison",24703,806,0.002778,-0.0052,-0.052099,218
2019-09-30,"40826","KY",,"Letcher County","Eolia",24704,745,0.000291,-0.000798,0.055086,140
2019-09-30,"40939","KY","Middlesborough","Bell County","Pineville",24705,793,-0.003702,-0.020741,0.007933,38
2019-09-30,"41839","KY",,"Knott County","Mousie",24706,789,-0.00567,-0.013771,-0.023365,213
2019-09-30,"49839","MI",,"Alger County","Grand Marais",24707,944,-0.00052,-0.011938,-0.019739,188
2019-09-30,"56588","MN","Fergus Falls","Otter Tail County","Vining",24708,1132,0.087913,0.04703,0.012161,392
2019-09-30,"64830","MO","Joplin","Jasper County","Alba",24709,776,0.015491,0.071508,0.097501,228
2019-09-30,"66868","KS","Emporia","Lyon County","Reading",24710,793,-0.024575,-0.007059,-0.009869,320
2019-09-30,"68329","NE",,"Johnson County","Cook",24711,1046,0.002429,0.026662,0.07296,296
2019-09-30,"71663","AR",,"Ashley County","Portland",24712,724,-0.007059,-0.020118,-0.015431,196
2019-09-30,"78592","TX","Brownsville-Harlingen","Cameron County","La Feria",24713,803,-0.000432,-0.021237,0.052753,272
2019-09-30,"83546","ID",,"Clearwater County","Pierce",24714,966,-0.002121,-0.018034,-0.087397,336
2019-09-30,"80833","CO","Colorado Springs","El Paso County","Rush",24715,1446,-0.000523,-0.01836,0.00578,357
2019-09-30,"02833","RI","Providence-Warwick","Washington County","Hopkinton",24716,1491,-0.006024,-0.013785,0.006431,262
2019-09-30,"15324","PA","Pittsburgh","Washington County","Cokeburg",24717,779,0.006769,0.009003,-0.022642,335
2019-09-30,"21664","MD","Cambridge","Dorchester County","East New Market",24718,1273,-0.01391,-0.0198,-0.060584,211
2019-09-30,"26884","WV",,"Pendleton County","Seneca Rocks",24719,857,-0.006994,-0.02231,-0.169499,376
2019-09-30,"43548","OH",,"Henry County","New Bavaria",24720,1013,0.000649,0.01491,0.079619,275
2019-09-30,"44068","OH","Ashtabula","Ashtabula County","North Kingsville",24721,784,-0.009461,-0.040356,-0.124989,146
2019-09-30,"47550","IN",,"Spencer County","Grandview",24722,999,0.004004,0.024213,0.110681,300
2019-09-30,"47942","IN","Lafayette-West Lafayette","Benton County","Earl Park",24723,941,0.011633,0.047565,0.058623,292
2019-09-30,"54564","WI",,"Oneida County","Tripoli",24724,1006,0.019793,0.04554,0.087311,50
2019-09-30,"60553","IL","Dixon","Lee County","Steward",24725,822,-0.011279,-0.013506,-0.253176,321
2019-09-30,"56167","MN","Worthington","Nobles County","Round Lake",24726,1178,-0.00578,-0.018734,-0.01325,127
2019-09-30,"55957","MN","Rochester","Wabasha County","Millville",24727,1304,-0.000097,0.000827,0.025713,257
2019-09-30,"59452","MT",,"Judith Basin County","Hobson",24728,1094,-0.003343,0.02526,0.091671,255
2019-09-30,"65720","MO","Springfield","Christian County","Oldfield",24729,897,-0.023496,0.01765,0.096137,190
2019-09-30,"76077","TX","Dallas-Fort Worth-Arlington","Somervell County","Rainbow",24730,1359,-0.007361,-0.019313,-0.035077,139
2019-09-30,"76357","TX","Wichita Falls","Clay County","Byers",24731,1166,0.005629,0.029744,0.091518,166
2019-09-30,"97065","OR",,"Sherman County","Wasco",24732,1428,0.007662,0.025465,0.025486,25
2019-09-30,"99153","WA","Spokane-Spokane Valley","Pend Oreille County","Metaline Falls",24733,1338,0.004722,0.008791,-0.042598,89
2019-09-30,"99663","AK",,"Kenai Peninsula Borough","Seldovia",24734,1295,0.004056,0.039994,-0.018568,336
2019-09-30,"12762","NY",,"Sullivan County","Bethel",24735,1284,0.022591,0.04219,0.034871,160
2019-09-30,"04360","ME","Augusta-Waterville","Kennebec County","Vienna",24736,1064,0.031255,0.041032,-0.008813,76
2019-09-30,"06387","CT","Worcester","Windham County","Brooklyn",24737,1130,0.015576,0.053957,0.039293,33
2019-09-30,"13621","NY","Ogdensburg-Massena","Saint Lawrence County","Town Of Madrid",24738,1091,-0.058061,-0.088974,0.032339,219
2019-09-30,"30454","GA","Dublin","Laurens County","Rockledge",24739,945,0.012616,0.050143,0.066666,234
2019-09-30,"50005","IA","Marshalltown","Marshall County","Albion",24740,801,-0.004272,-0.0047,0.032366,299
2019-09-30,"49925","MI",,"Ontonagon County","Ewen",24741,906,0.003771,0.015277,0.061909,101
2019-09-30,"58571","ND",,"Mercer County","Stanton",24742,974,-0.017348,-0.120785,-0.151227,11
2019-09-30,"57314","SD",,"Sanborn County","Artesian",24743,763,-0.022868,-0.041004,-0.221003,61
2019-09-30,"55798","MN","Duluth","Carlton County","Wright",24744,856,-0.022311,-0.064935,-0.164249,83
2019-09-30,"59934","MT",,"Lincoln County","Trego",24745,1244,0.000485,0.008574,0.166205,271
2019-09-30,"61334","IL","Ottawa-Peru","La Salle County","Lostant",24746,938,-0.001403,0.016119,0.087891,278
2019-09-30,"66526","KS","Topeka","Wabaunsee County","Paxico",24747,1074,-0.001807,-0.004147,0.049675,273
2019-09-30,"71847","AR","Hope","Hempstead County","McCaskill",24748,781,-0.013488,-0.02749,0.044835,227
2019-09-30,"70646","LA","Lake Charles","Calcasieu Parish","Iowa",24749,1292,0.004097,-0.013615,0.03589,11
2019-09-30,"69122","NE",,"Deuel County","Big Springs",24750,877,0.004812,0.012377,-0.008643,309
2019-09-30,"78351","TX","Corpus Christi","Nueces County","Driscoll",24751,1115,-0.010678,-0.043658,-0.040314,208
